"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"2038009102505259489","Sun Mar 29 06:49:33 +0000 2026","0","@Megatron_ron Weew.. @prabowo @Gerindra @bang_dasco","2038146527689142465","","Megatron_ron","en","","0","0","0","https://x.com/undefined/status/2038146527689142465","1403349928911327233",
"2038137923187704066","Sun Mar 29 06:49:09 +0000 2026","0","@popdriick takut ketauan prabowo ya","2038146425754997193","","popdriick","in","","0","0","0","https://x.com/undefined/status/2038146425754997193","1239483204307836928",
"2037977905834385625","Sun Mar 29 06:48:59 +0000 2026","0","@Tita83079013 Spt pooling pemilu presiden US kemaren bikin aja mn zona merah &amp; biru di seluruh indonesia. Mn yg dukung Bebe ato proxy cino tsb?","2038146384285864050","","Tita83079013","in","","0","0","0","https://x.com/undefined/status/2038146384285864050","3304657208",
"2038146318141718705","Sun Mar 29 06:48:43 +0000 2026","0","Cuma orang tolol yg pilih Prabowo","2038146318141718705","","","in","","0","0","0","https://x.com/undefined/status/2038146318141718705","59740104",
"2038140272220192992","Sun Mar 29 06:48:42 +0000 2026","0","@B1dadariBum1kuh @prabowo Sependapat biar berhasil dibarengi dg rame2 doa langit disetiap sujudnya dlm keadaan sholat tahajjud biar dimakbulkan aamiin","2038146311128826002","","B1dadariBum1kuh","in","","0","0","0","https://x.com/undefined/status/2038146311128826002","1897297088029061120",
"2037893600051380377","Sun Mar 29 06:48:36 +0000 2026","0","@Bambangmulyonoo Negara sudah dirusak jokowi","2038146288139837864","","Bambangmulyonoo","in","","0","0","0","https://x.com/undefined/status/2038146288139837864","1745702346162917376",
"2038113981953687944","Sun Mar 29 06:48:31 +0000 2026","0","@KangManto123 @SukoharjoTf @prabowo Hanya di Konoha...","2038146268397216016","","KangManto123","in","","0","0","0","https://x.com/undefined/status/2038146268397216016","4184979312",
"2038119547698545010","Sun Mar 29 06:48:30 +0000 2026","0","@picoez Terakhir telur mesti?","2038146261271167059","","picoez","in","","0","0","0","https://x.com/undefined/status/2038146261271167059","177775297",
"2038146226315767920","Sun Mar 29 06:48:21 +0000 2026","0","Lihat video FANS GIRL JOKOWI ! #TikTok https://t.co/xermV4F8yp","2038146226315767920","","","en","","0","0","0","https://x.com/undefined/status/2038146226315767920","126607693",
"2038097164518465588","Sun Mar 29 06:48:06 +0000 2026","0","@kumifigo Membela ijazah palsu. Pantesan negara Indonesia gampang di tipu2 oleh negara luar. SDM NOL BESAR.. YANG PENTING HIDUP JOKOWI ITULAH KELEBIHAN INDONESIA.","2038146161769656645","","kumifigo","in","","0","0","0","https://x.com/undefined/status/2038146161769656645","1705475303571861504",
"2038146136343814154","Sun Mar 29 06:48:00 +0000 2026","0","Wkwkwkwk emang dipelihara yang kek gini","2038146136343814154","","","in","","0","0","0","https://x.com/undefined/status/2038146136343814154","1333690686298701824",
"2038142995263021527","Sun Mar 29 06:47:59 +0000 2026","0","@wargasenayan Gue apa aja dah asal jangan dia collab sm prabowo","2038146130782163025","","wargasenayan","in","","0","0","0","https://x.com/undefined/status/2038146130782163025","1426687909680144387",
"2037934905376829489","Sun Mar 29 06:47:56 +0000 2026","0","@ANDIJaya490011 @polisiolahraga ngentot yang gusur pemprov ngapain salahin prabowo GOBLOKKKKKKKK otak dongo","2038146121038741845","","ANDIJaya490011","in","","0","0","0","https://x.com/undefined/status/2038146121038741845","1836640762538397699",
"2037907750865551749","Sun Mar 29 06:47:50 +0000 2026","0","@Syarman59 @prabowo @KejaksaanRI @bumn_idn duit duit duit MBG","2038146095893954946","","Syarman59","nl","","0","0","0","https://x.com/undefined/status/2038146095893954946","1668890870312239104",
"2038070421766164606","Sun Mar 29 06:47:49 +0000 2026","0","@TxtdariHI Maunya coba di Indonesia serukan @prabowo dimakzulkan","2038146092018413927","","TxtdariHI","in","","0","0","0","https://x.com/undefined/status/2038146092018413927","1875962359887601664",
