"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1124715870301777920","Sat May 04 23:59:57 +0000 2019","0","@_doncorleone78_ @prabowo @sandiuno Terimakasih saudara ku di Sampang dengan perjuangan nya..... Allahuakbar Allahuakbar Allahuakbar ","1124826027090268161","","_doncorleone78_","in","","0","0","0","https://x.com/undefined/status/1124826027090268161","1118917375070363649",
"1124826023915212800","Sat May 04 23:59:57 +0000 2019","2","Banyak yg dukung Pak @jokowi dlm kebijakan tanah untuk rakyat. Pimpinan Nasional punya komitmen Regulasi sudah memungkinkan &amp; perlu ditingkatkan masyarakat yg membutuhkan tanah sudah ada .. apalagi harus dilakukan?","1124826023915212800","","","in","","0","2","1","https://x.com/undefined/status/1124826023915212800","2520016752",
"1124814691228721152","Sat May 04 23:59:51 +0000 2019","0","@EndangPRS Bukan di politisasi tp dgn di dukungnya investigasi trhdp fenomena ini (kebetulan kok 400an nyawa..wooii..400an!!) kita smua dpt mngkoreksi konsep penyelenggraan PEMILU ini apa yg bikin tdk sehat shngga bnyk yg mninggal..(apa krn waktu sistem kerja mknan dll) @KPU_ID","1124826002859773952","","EndangPRS","in","","0","0","0","https://x.com/undefined/status/1124826002859773952","768103590770581504",
"1124825990780243968","Sat May 04 23:59:49 +0000 2019","0","Pemilu 2019 Transparan Jujur Adil Demokratis dan tidak ada kecurangan pernyataan sikap dari Warga Karangkimpul Rt.03 Rw.01 Kel. Tambakrejo Kec. Gayamsari Kota Semarang #abiososenoaji https://t.co/8sB2T1QM6m","1124825990780243968","","","in","","0","0","0","https://x.com/undefined/status/1124825990780243968","938529989837725697",
"1124670081315721216","Sat May 04 23:59:47 +0000 2019","0","@NurAlamsyahBdg @andez832 Rekor pemilu TERBURUK.","1124825982748069889","","NurAlamsyahBdg","in","","0","0","0","https://x.com/undefined/status/1124825982748069889","1092344216410181632",
"1124748411721228289","Sat May 04 23:59:45 +0000 2019","4","@RachlanNashidik Sy jg sependapat dgn anda blm ada sttmn resmi pak Prabowo tentang kecurangan yg Terstruktur sitematis dan masif trhdp situng KPU Tapi tidak elok jg anda diungkapkan disini kan Demokrat masih berkoalisi jd jgn slhkan relawan o2 pny persepsi negatif trhdp PD ..","1124825975978467328","","rachlannashidik","in","","0","1","0","https://x.com/undefined/status/1124825975978467328","3628454533",
"1124676393466511361","Sat May 04 23:59:40 +0000 2019","1","@intermakcz @haikal_hassan Eh dunguu itu tugas jokowi ngapain team BPN ribet !! BPN bukan menteri polisii negara atauu presiden harusnya yg malu skg yg pnya pangkat jendral tpi ga mw usut 98. Boro2 98 bapak novel aja dibuang dicuekin","1124825952863698944","","intermakcz","in","","0","0","0","https://x.com/undefined/status/1124825952863698944","1411904178",
"1124706573002080258","Sat May 04 23:59:34 +0000 2019","0","@SiIvy_Riau02 @jokowi Trimakasih infonya bikin hati kampret menjadi adem. Tapi mudah2an bener sih.","1124825928377327616","","PeoplePower_id","in","","0","0","0","https://x.com/undefined/status/1124825928377327616","903480686807457794",
"1124820414264332294","Sat May 04 23:59:21 +0000 2019","0","@harychandra091 @prabowo @sandiuno Suruh menghadap manusia cebong yg bilang yg kasih makan rutan adalah jokowi .. Mau tau saya bentuk dan wujud orangnya masih punya mata telinga berambut punya tangan punya kaki ap tidak","1124825875764076544","","harychandra091","in","","0","0","0","https://x.com/undefined/status/1124825875764076544","1033418499496890368",
"1124715870301777920","Sat May 04 23:59:14 +0000 2019","0","@_doncorleone78_ @prabowo @sandiuno Barokah Ya Ustad #StopSitungKPU","1124825845103595521","","_doncorleone78_","in","","0","0","0","https://x.com/undefined/status/1124825845103595521","903432622394662913",
"1124699114912899074","Sat May 04 23:59:12 +0000 2019","1","@Ayu02Basuki @Johnywick20 @prabowo @sandiuno Sayang banged Bangkalan malah lepas ke 01 ya.","1124825837004443649","","Ayu02Basuki","in","","0","0","0","https://x.com/undefined/status/1124825837004443649","953330310300688384",
"1124347205232447489","Sat May 04 23:59:10 +0000 2019","0","@yarham02 @mohmahfudmd Pemilu paling parah dan menyedihkan...mungkin dalam sajarah kemanusian... Lama bertele tele curang dan makan byk korban... astaghfirullah.. #DoaKamiUntukPrabowoSandi","1124825829769269249","","yarham02","in","","0","0","0","https://x.com/undefined/status/1124825829769269249","1051001971212050433",
"1124823670302564352","Sat May 04 23:59:06 +0000 2019","19","@askmenfess Tanya ke pak Prabowo nder","1124825810416726018","","Askmenfess","in","","0","3","1","https://x.com/undefined/status/1124825810416726018","2204919925",
"1124664721418756096","Sat May 04 23:59:03 +0000 2019","0","@P3nj3l4j4h mantab. Cc @jokowi dan @prabowo","1124825800522395648","","P3nj3l4j4h","in","","0","0","0","https://x.com/undefined/status/1124825800522395648","864212965",
"1124660453630566400","Sat May 04 23:58:59 +0000 2019","0","@ibsir2018 @albertpanjaitn @SBYudhoyono @prabowo Ane nitip satu Ayat aja Om.. https://t.co/6kDTl2nCAe","1124825782847623168","https://pbs.twimg.com/media/D5wvFc-UYAAAbeY.png","ibsir2018","in","","0","0","0","https://x.com/undefined/status/1124825782847623168","991336860692627458",
"1124260167661641730","Sat May 04 23:58:59 +0000 2019","0","@detikcom Oh Pak Prabowo punya edo tensei mungkin ","1124825780721147905","","detikcom","in","","0","0","0","https://x.com/undefined/status/1124825780721147905","767728889812496384",
